schemaVersion,recordType,source_name,source_url,content_entityName,content_title,content_company,content_pricingModel,content_description,collectedAt,content_url,content_category,content_employeeCount,content_publishedDate,content_isRemote,content_roleFamily
1.0,NEWS,TechCrunch,https://techcrunch.com/2026/09/03/the-sameness-problem-behind-those-unappetizing-ai-generated-menus/,Reality Defender,The sameness problem behind those unappetizing AI-generated menus,Reality Defender,,a startup selling AI-detection and content-verification tools,2026-09-04T17:01:12.355350+00:00,https://techcrunch.com/2026/09/03/the-sameness-problem-behind-those-unappetizing-ai-generated-menus/,AI detection,,2026-09-03,,nan
1.0,NEWS,TechCrunch,https://techcrunch.com/2026/09/03/crusoe-reportedly-raises-3b-at-a-30b-valuation/,Crusoe,Crusoe reportedly raises $3B at a  $30B valuation,Crusoe,,Data center developer,2026-09-04T17:01:26.726900+00:00,https://techcrunch.com/2026/09/03/crusoe-reportedly-raises-3b-at-a-30b-valuation/,TechCrunch In Brief,,"September 3, 2026",,null
1.0,NEWS,TechCrunch,https://techcrunch.com/2026/09/03/oura-files-to-go-public/,Oura,Oura files to go public,Oura,,smart ring maker,2026-09-04T17:01:30.896178+00:00,https://techcrunch.com/2026/09/03/oura-files-to-go-public/,Biotech & Health,,2026-09-03,,null
1.0,NEWS,TechCrunch,https://techcrunch.com/2026/09/03/tesla-is-asking-people-if-they-want-to-buy-and-run-cybercab-fleets/,Tesla Cybercab fleet interest form,Tesla is asking people if they want to buy and run Cybercab fleets,Tesla,,Tesla is asking businesses to buy or operate Cybercab fleets,2026-09-04T17:01:35.034394+00:00,https://techcrunch.com/2026/09/03/tesla-is-asking-people-if-they-want-to-buy-and-run-cybercab-fleets/,nan,,2026-09-03,,null
1.0,NEWS,TechCrunch,https://techcrunch.com/2026/09/03/startup-arr-is-less-secure-than-ever-new-research-shows/,"Startup ARR is less secure than ever, new research shows","Startup ARR is less secure than ever, new research shows",nan,,nan,2026-09-04T17:01:39.625595+00:00,https://techcrunch.com/2026/09/03/startup-arr-is-less-secure-than-ever-new-research-shows/,nan,,2026-09-03,,nan
1.0,NEWS,TechCrunch,https://techcrunch.com/2026/09/03/the-cybercab-is-teslas-fork-in-the-road-moment/,Cybercab,The Cybercab is Tesla’s ‘fork in the road’ moment,Tesla,,Tesla’s autonomous two‑seater robotaxi,2026-09-04T17:01:44.494670+00:00,https://techcrunch.com/2026/09/03/the-cybercab-is-teslas-fork-in-the-road-moment/,Transportation,,"September 3, 2026",,nan
1.0,NEWS,TechCrunch,https://techcrunch.com/2026/09/03/accel-reportedly-in-talks-to-lead-1b-round-for-thinking-machines-at-40b-valuation/,Thinking Machines,Accel reportedly in talks to lead $1B round for Thinking Machines at $40B valuation,Thinking Machines,,"AI lab founded by former OpenAI CTO Mira Murati, seeking $1B round at $40B valuation",2026-09-04T17:01:56.974816+00:00,https://techcrunch.com/2026/09/03/accel-reportedly-in-talks-to-lead-1b-round-for-thinking-machines-at-40b-valuation/,TechCrunch In Brief,,"September 3, 2026",,nan
1.0,NEWS,TechCrunch,https://techcrunch.com/2026/09/03/utilities-are-racing-to-link-up-with-fusion-startups-with-realta-fusion-the-latest-to-benefit/,Realta Fusion,"Utilities are racing to link up with fusion startups, with Realta Fusion the latest to benefit",Realta Fusion,,Fusion startup Realta Fusion announced a deal with Madison Gas and Electric to build one of the first grid-connected fusion power plants in Wisconsin.,2026-09-04T17:02:05.439450+00:00,https://techcrunch.com/2026/09/03/utilities-are-racing-to-link-up-with-fusion-startups-with-realta-fusion-the-latest-to-benefit/,nan,,2026-09-03,,nan
1.0,NEWS,TechCrunch,https://techcrunch.com/2026/09/03/abliteration-ai-is-making-a-business-out-of-removing-ai-guardrails/,nan,Abliteration.ai is making a business out of removing AI guardrails,nan,,nan,2026-09-04T17:02:16.920019+00:00,https://techcrunch.com/2026/09/03/abliteration-ai-is-making-a-business-out-of-removing-ai-guardrails/,nan,,2026-09-03T18:37:57+00:00,,nan
1.0,NEWS,TechCrunch,https://techcrunch.com/2026/09/03/meta-is-paying-to-peek-at-how-you-use-their-latest-ai-model/,nan,Meta is paying to peek at how you use their latest AI model,nan,,nan,2026-09-04T17:02:20.202068+00:00,https://techcrunch.com/2026/09/03/meta-is-paying-to-peek-at-how-you-use-their-latest-ai-model/,nan,,2026-09-03T18:19:56+00:00,,nan
1.0,NEWS,TechCrunch,https://techcrunch.com/2026/09/03/openai-launches-astra-its-powerful-and-controversial-new-model/,nan,"OpenAI launches Astra, its powerful (and controversial) new model",nan,,nan,2026-09-04T17:02:23.557866+00:00,https://techcrunch.com/2026/09/03/openai-launches-astra-its-powerful-and-controversial-new-model/,nan,,2026-09-03T18:01:45+00:00,,nan
1.0,NEWS,TechCrunch,https://techcrunch.com/2026/09/03/qualcomm-backs-ultrahuman-in-70m-round-on-bet-to-turn-smart-rings-into-computers/,nan,Qualcomm backs Ultrahuman in $70M round on bet to turn smart rings into computers,nan,,nan,2026-09-04T17:02:26.915270+00:00,https://techcrunch.com/2026/09/03/qualcomm-backs-ultrahuman-in-70m-round-on-bet-to-turn-smart-rings-into-computers/,nan,,2026-09-03T17:00:00+00:00,,nan
1.0,NEWS,Google Research,https://research.google/blog/transfer-learning-for-genomic-prediction-in-underrepresented-populations/,nan,Transfer learning for genomic prediction in underrepresented populations,nan,,nan,2026-09-04T17:02:30.460105+00:00,https://research.google/blog/transfer-learning-for-genomic-prediction-in-underrepresented-populations/,nan,,2026-09-03T18:20:31+00:00,,nan
