recordType,source_name,source_url,rawEntityName,canonicalEntityName
NEWS,TechCrunch,https://techcrunch.com/2026/09/03/the-sameness-problem-behind-those-unappetizing-ai-generated-menus/,Reality Defender,Reality Defender
NEWS,TechCrunch,https://techcrunch.com/2026/09/03/crusoe-reportedly-raises-3b-at-a-30b-valuation/,Crusoe,Crusoe
NEWS,TechCrunch,https://techcrunch.com/2026/09/03/oura-files-to-go-public/,Oura,Oura
NEWS,TechCrunch,https://techcrunch.com/2026/09/03/tesla-is-asking-people-if-they-want-to-buy-and-run-cybercab-fleets/,Tesla Cybercab fleet interest form,Tesla Cybercab fleet interest form
NEWS,TechCrunch,https://techcrunch.com/2026/09/03/startup-arr-is-less-secure-than-ever-new-research-shows/,"Startup ARR is less secure than ever, new research shows","Startup ARR is less secure than ever, new research shows"
NEWS,TechCrunch,https://techcrunch.com/2026/09/03/the-cybercab-is-teslas-fork-in-the-road-moment/,Cybercab,Cybercab
NEWS,TechCrunch,https://techcrunch.com/2026/09/03/accel-reportedly-in-talks-to-lead-1b-round-for-thinking-machines-at-40b-valuation/,Thinking Machines,Thinking Machines
NEWS,TechCrunch,https://techcrunch.com/2026/09/03/utilities-are-racing-to-link-up-with-fusion-startups-with-realta-fusion-the-latest-to-benefit/,Realta Fusion,Realta Fusion
NEWS,TechCrunch,https://techcrunch.com/2026/09/03/abliteration-ai-is-making-a-business-out-of-removing-ai-guardrails/,nan,nan
NEWS,TechCrunch,https://techcrunch.com/2026/09/03/meta-is-paying-to-peek-at-how-you-use-their-latest-ai-model/,nan,nan
NEWS,TechCrunch,https://techcrunch.com/2026/09/03/openai-launches-astra-its-powerful-and-controversial-new-model/,nan,nan
NEWS,TechCrunch,https://techcrunch.com/2026/09/03/qualcomm-backs-ultrahuman-in-70m-round-on-bet-to-turn-smart-rings-into-computers/,nan,nan
NEWS,Google Research,https://research.google/blog/transfer-learning-for-genomic-prediction-in-underrepresented-populations/,nan,nan
